"TOA5","CR800Series","CR800","36521","CR800.Std.28","CPU:CCSS000544_test.CR8","45334","Table1"
"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","AirTC_Avg","RH","SlrW_Avg","SlrMJ_Tot","WS_ms_S_WVT","WindDir_D1_WVT","Rain_mm_Tot","BP_mbar_Avg"
"TS","RN","Volts","Deg C","Deg C","%","W/m²","MJ/m²","meters/second","Deg","mm","mbar"
"","","Avg","Avg","Avg","Smp","Avg","Tot","WVc","WVc","Tot","Avg"
"2015-11-26 18:00:00",1,12.84,22.49,9.84,82.6,00.00,00.00,4.079,48.21,0,00.00
"2015-11-26 19:00:00",2,12.76,00.00,8.48,87.1,00.00,00.00,3.44,68.32,0,00.00
"2015-11-26 20:00:00",3,12.75,17.8,7.987,84.9,00.00,00.00,3.11,73.51,0,00.00
"2015-11-26 21:00:00",4,12.74,16.93,8.71,84.3,00.00,00.00,2.856,78.63,0,00.00
"2015-11-26 22:00:00",5,12.74,16.65,8.69,81.9,00.00,00.00,3.007,77.12,0,00.00
"2015-11-26 23:00:00",6,12.74,16.4,9.11,84.6,00.00,00.00,3.671,81.6,0,00.00
"2015-11-27 00:00:00",7,12.74,16.25,9.05,86.3,00.00,00.00,3.668,70.46,0,00.00
"2015-11-27 01:00:00",8,12.73,16.13,8.68,86.8,00.00,00.00,3.97,67.79,0,00.00
"2015-11-27 02:00:00",9,12.73,16.02,9.04,84.6,00.00,00.00,3.881,67.41,0,00.00
"2015-11-27 03:00:00",10,12.73,15.93,9.05,90.2,00.00,00.00,3.852,50.14,0,00.00
"2015-11-27 04:00:00",11,12.72,15.61,8.46,97.2,00.00,00.00,3.691,38.38,0,00.00
"2015-11-27 05:00:00",12,12.72,15.51,8.44,87.3,00.00,00.00,4.819,46.63,0,00.00
"2015-11-27 06:00:00",13,12.72,15.44,8.79,88,00.00,00.00,4.322,51.39,0,00.00
"2015-11-27 07:00:00",14,12.72,15.46,8.25,87.5,00.00,00.00,3.506,65.58,0,00.00
"2015-11-27 08:00:00",15,12.72,15.38,8.07,89.1,00.00,00.00,2.296,49.88,0,00.00
"2015-11-27 09:00:00",16,12.72,15.35,8,80.5,00.00,00.00,2.864,58.17,0,00.00
"2015-11-27 10:00:00",17,12.71,15.3,9.14,73.82,00.00,00.00,2.452,83.3,0,00.00
"2015-11-27 11:00:00",18,12.71,15.4,9.95,69.12,00.00,00.00,2.833,98.7,0,00.00
"2015-11-27 12:00:00",19,12.71,15.49,10.78,70.12,00.00,00.00,2.581,69.59,0,00.00
"2015-11-27 13:00:00",20,12.71,15.52,11.6,65.65,00.00,00.00,4.096,72.61,0,00.00
"2015-11-27 14:00:00",21,12.71,15.66,12.04,67.98,00.00,00.00,4.212,66.89,0,00.00
"2015-11-27 15:00:00",22,12.71,15.8,12.12,67.92,00.00,00.00,4.748,66.27,0,00.00
"2015-11-27 16:00:00",23,12.71,15.87,11.9,69.47,00.00,00.00,5.023,60.23,0,00.00
"2015-11-27 17:00:00",24,12.71,15.91,10.66,73.18,00.00,00.00,4.482,66.38,0,00.00
"2015-11-27 18:00:00",25,12.72,15.89,9.51,74.94,00.00,00.00,1.994,61.02,0,00.00
"2015-11-27 19:00:00",26,12.71,15.84,9.76,78.77,00.00,00.00,2.306,51.87,0,00.00
"2015-11-27 20:00:00",27,12.72,18.37,9.96,81.6,00.00,00.00,2.386,69.6,0,00.00
"2015-11-27 21:00:00",28,12.72,19.13,9.44,88.1,00.00,00.00,2.272,59.51,0,00.00
"2015-11-27 22:00:00",29,12.72,18.96,7.796,93.1,00.00,00.00,2.201,39.77,0,00.00
"2015-11-27 23:00:00",30,12.72,18.78,7.666,88.2,00.00,00.00,1.931,56.41,0,00.00
"2015-11-28 00:00:00",31,12.72,18.45,7.763,89.9,00.00,00.00,1.313,35.78,0,00.00
"2015-11-28 01:00:00",32,12.72,18.37,7.386,92.2,00.00,00.00,1.55,44.07,0,00.00
"2015-11-28 02:00:00",33,12.71,18.33,7.983,87.3,00.00,00.00,1.592,42.1,0,00.00
"2015-11-28 03:00:00",34,12.71,18.25,8.3,83.2,00.00,00.00,0.866,62.14,0,00.00
"2015-11-28 04:00:00",35,12.71,18.24,8.09,83.6,00.00,00.00,1.252,72.1,0,00.00
"2015-11-28 05:00:00",36,12.71,18.14,7.993,85.2,00.00,00.00,1.47,61.08,0,00.00
"2015-11-28 06:00:00",37,12.71,18.08,7.055,89.9,00.00,00.00,1.303,28.11,0,00.00
"2015-11-28 07:00:00",38,12.71,18.01,6.472,93.3,00.00,00.00,2.091,51.01,0,00.00
"2015-11-28 08:00:00",39,12.71,17.91,6.073,94.3,00.00,00.00,2.605,51.2,0,00.00
"2015-11-28 09:00:00",40,13.15,00.00,7.601,88,00.00,00.00,1.881,71.94,0,00.00
"2015-11-28 10:00:00",41,14.44,00.00,13.8,74.75,00.00,00.00,1.324,344.2,0,00.00
"2015-11-28 11:00:00",42,14.05,10.27,8.79,66.51,00.00,00.00,1.858,344,0,494.4
"2015-11-28 18:00:00",43,13.12,10.22,5.532,71.07,1.62,0.0004537142,1.632,291.1,0,351.1
"2015-11-28 19:00:00",44,13.06,10.18,4.466,76.48,0.163,0.0005854651,1.53,284,0,380.2
"2015-11-28 20:00:00",45,13.02,10.12,3.114,78.42,0,0,1.651,287.3,0,378.1
"2015-11-28 21:00:00",46,13,10.08,2.772,74.1,0,0,0.86,318.5,0,377
"2015-11-28 22:00:00",47,12.98,10.05,1.874,84.6,0,0,1.014,248.5,0,376.1
"2015-11-28 23:00:00",48,12.97,10.01,0.668,84.7,0,0,1.654,261.3,0,375.2
"2015-11-29 00:00:00",49,12.96,9.97,1.035,81.9,0,0,1.182,258.4,0,374.4
